acpi_thermal_pm,2022-04-30 19:11:14.470000,idle,0,0,0,0
vfio-irqfd-clea,2022-04-30 19:11:14.640000,idle,0,0,0,0
mld,2022-04-30 19:11:14.710000,idle,0,0,0,0
kworker/1:1H-kblockd,2022-04-30 19:11:14.710000,idle,0,0,0,0
ipv6_addrconf,2022-04-30 19:11:14.710000,idle,0,0,0,0
kstrp,2022-04-30 19:11:14.720000,idle,0,0,0,0
zswap-shrink,2022-04-30 19:11:14.720000,idle,0,0,0,0
charger_manager,2022-04-30 19:11:14.740000,idle,0,0,0,0
kworker/5:1H-events_highpri,2022-04-30 19:11:14.950000,idle,0,0,0,0
nvme-wq,2022-04-30 19:11:14.970000,idle,0,0,0,0
nvme-reset-wq,2022-04-30 19:11:14.970000,idle,0,0,0,0
nvme-delete-wq,2022-04-30 19:11:14.970000,idle,0,0,0,0
irq/129-ETD2303,2022-04-30 19:11:14.990000,sleeping,0,0,0,0
kworker/6:1H-kblockd,2022-04-30 19:11:15.120000,idle,0,0,0,0
kworker/2:1H-events_highpri,2022-04-30 19:11:15.410000,idle,0,0,0,0
jbd2/nvme0n1p5-,2022-04-30 19:11:15.420000,sleeping,0,0,0,0
ext4-rsv-conver,2022-04-30 19:11:15.420000,idle,0,0,0,0
kworker/3:1H-kblockd,2022-04-30 19:11:15.430000,idle,0,0,0,0
kworker/4:1H-kblockd,2022-04-30 19:11:15.440000,idle,0,0,0,0
kworker/7:1H-kblockd,2022-04-30 19:11:15.920000,idle,0,0,0,0
systemd-journald,2022-04-30 19:11:15.920000,sleeping,0,0,0,0
loop0,2022-04-30 19:11:15.980000,sleeping,0,0,0,0
systemd-udevd,2022-04-30 19:11:16,sleeping,0,0,0,0
loop2,2022-04-30 19:11:16.020000,sleeping,0,0,0,0
loop3,2022-04-30 19:11:16.020000,sleeping,0,0,0,0
loop6,2022-04-30 19:11:16.050000,sleeping,0,0,0,0
loop7,2022-04-30 19:11:16.050000,sleeping,0,0,0,0
loop8,2022-04-30 19:11:16.150000,sleeping,0,0,0,0
loop9,2022-04-30 19:11:16.230000,sleeping,0,0,0,0
loop10,2022-04-30 19:11:16.310000,sleeping,0,0,0,0
cfg80211,2022-04-30 19:11:16.340000,idle,0,0,0,0
irq/139-iwlwifi,2022-04-30 19:11:16.360000,sleeping,0,0,0,0
cryptd,2022-04-30 19:11:16.400000,idle,0,0,0,0
loop11,2022-04-30 19:11:16.400000,sleeping,0,0,0,0
loop12,2022-04-30 19:11:16.470000,sleeping,0,0,0,0
card0-crtc0,2022-04-30 19:11:16.530000,sleeping,0,0,0,0
card0-crtc1,2022-04-30 19:11:16.530000,sleeping,0,0,0,0
card0-crtc2,2022-04-30 19:11:16.530000,sleeping,0,0,0,0
loop13,2022-04-30 19:11:16.580000,sleeping,0,0,0,0
loop14,2022-04-30 19:11:17.030000,sleeping,0,0,0,0
loop15,2022-04-30 19:11:17.080000,sleeping,0,0,0,0
loop16,2022-04-30 19:11:17.130000,sleeping,0,0,0,0
loop17,2022-04-30 19:11:17.200000,sleeping,0,0,0,0
loop18,2022-04-30 19:11:17.280000,sleeping,0,0,0,0
loop19,2022-04-30 19:11:17.360000,sleeping,0,0,0,0
